Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
,22-X5668706,Person,Centennial,1/1/2022,0100,Assault Offenses,Simple Assault,,,1/1/2022,1
,22-X5668767,Person,Parkrose,1/1/2022,0000,Assault Offenses,Aggravated Assault,,,1/1/2022,1
,22-X5668767,Society,Parkrose,1/1/2022,0000,Weapon Law Violations,Weapons Law Violations,,,1/1/2022,1
,22-X5668818,Person,Woodstock,1/1/2022,1424,Assault Offenses,Simple Assault,,,1/1/2022,1
,22-X5668818,Person,Woodstock,1/1/2022,1424,Kidnapping/Abduction,Kidnapping/Abduction,,,1/1/2022,1
,22-X5668827,Person,Powellhurst-Gilbert,1/1/2022,1700,Assault Offenses,Simple Assault,,,1/1/2022,1
,22-X5668891,Person,Centennial,1/1/2022,1704,Assault Offenses,Simple Assault,,,1/1/2022,1
,22-X5668898,Person,Hazelwood,1/1/2022,0300,Assault Offenses,Aggravated Assault,,,1/1/2022,1
,22-X5668950,Person,Downtown,1/1/2022,0641,Assault Offenses,Aggravated Assault,,,1/1/2022,1
,22-X5669026,Person,Mt Scott-Arleta,1/1/2022,2235,Assault Offenses,Aggravated Assault,,,1/1/2022,1
,22-X5669062,Person,Argay,1/1/2022,0147,Assault Offenses,Aggravated Assault,,,1/1/2022,1
,22-X5669062,Person,Argay,1/1/2022,0147,Homicide Offenses,Murder and Non-negligent Manslaughter,,,1/1/2022,2
,22-X5669088,Person,Glenfair,1/2/2022,0839,Assault Offenses,Simple Assault,,,1/2/2022,1
,22-X5669092,Person,Centennial,1/2/2022,1130,Assault Offenses,Simple Assault,,,1/2/2022,1
,22-X5669106,Person,Reed,1/2/2022,0401,Assault Offenses,Simple Assault,,,1/2/2022,1
,22-X5669108,Person,Woodstock,1/2/2022,1050,Assault Offenses,Simple Assault,,,1/2/2022,1
,22-X5669112,Person,Parkrose Heights,1/2/2022,0343,Assault Offenses,Aggravated Assault,,,1/2/2022,1
,22-X5669115,Person,Humboldt,1/2/2022,1435,Assault Offenses,Simple Assault,,,1/2/2022,1
,22-X5669128,Person,Piedmont,1/2/2022,0900,Homicide Offenses,Murder and Non-negligent Manslaughter,,,1/2/2022,1
,22-X5669131,Person,King,1/2/2022,2100,Assault Offenses,Aggravated Assault,,,1/2/2022,1
,22-X5669148,Person,Centennial,1/2/2022,1850,Assault Offenses,Simple Assault,,,1/2/2022,1
,22-X5669150,Person,Roseway,1/1/2022,0101,Assault Offenses,Simple Assault,,,1/1/2022,1
,22-X5669151,Property,Eliot,1/2/2022,1928,Robbery,Robbery,,,1/2/2022,1
,22-X5669193,Person,South Portland,1/3/2022,0315,Assault Offenses,Simple Assault,,,1/3/2022,1
,22-X5669245,Person,Creston-Kenilworth,12/31/2021,2330,Sex Offenses,Rape,,,1/2/2022,1
,22-X5669247,Person,Old Town/Chinatown,1/3/2022,1245,Assault Offenses,Aggravated Assault,,,1/3/2022,1
,22-X5669250,Person,Old Town/Chinatown,1/2/2022,0130,Sex Offenses,Sexual Assault With An Object,,,1/2/2022,1
,22-X5669250,Property,Old Town/Chinatown,1/2/2022,0130,Robbery,Robbery,,,1/2/2022,1
,22-X5669277,Person,Downtown,1/3/2022,0400,Assault Offenses,Aggravated Assault,,,1/3/2022,1
,22-X5669285,Person,Mt Scott-Arleta,1/3/2022,1737,Assault Offenses,Aggravated Assault,,,1/3/2022,1
,22-X5669295,Person,Hayden Island,1/3/2022,1512,Assault Offenses,Simple Assault,,,1/3/2022,1
,22-X5669304,Person,Lents,1/3/2022,2304,Assault Offenses,Simple Assault,,,1/3/2022,1
,22-X5669319,Person,Centennial,1/3/2022,2319,Assault Offenses,Simple Assault,,,1/4/2022,1
,22-X5669327,Person,Argay,1/4/2022,0113,Assault Offenses,Aggravated Assault,,,1/4/2022,1
,22-X5669542,Person,Lents,1/4/2022,2205,Assault Offenses,Simple Assault,,,1/4/2022,1
,22-X5669543,Person,,1/4/2022,2001,Assault Offenses,Simple Assault,,,1/4/2022,1
,22-X5669544,Person,Glenfair,1/4/2022,2309,Assault Offenses,Simple Assault,,,1/4/2022,1
,22-X5669546,Person,Kerns,1/4/2022,2234,Assault Offenses,Simple Assault,,,1/5/2022,1
,22-X5669549,Person,Hazelwood,1/5/2022,0140,Assault Offenses,Simple Assault,,,1/5/2022,2
,22-X5669553,Person,Hazelwood,1/5/2022,0013,Assault Offenses,Aggravated Assault,,,1/5/2022,2
,22-X5669586,Person,Downtown,1/3/2022,0234,Assault Offenses,Simple Assault,,,1/3/2022,1
,22-X5669639,Person,Centennial,1/4/2022,1917,Assault Offenses,Simple Assault,,,1/4/2022,1
,22-X5669689,Person,Powellhurst-Gilbert,1/2/2022,0819,Assault Offenses,Simple Assault,,,1/2/2022,1
,22-X5669712,Person,,12/27/2021,0001,Kidnapping/Abduction,Kidnapping/Abduction,,,1/1/2022,1
,22-X5669712,Person,,12/27/2021,0001,Sex Offenses,Rape,,,1/1/2022,1
,22-X5669732,Person,Eliot,1/5/2022,0509,Assault Offenses,Aggravated Assault,,,1/5/2022,1
,22-X5669735,Person,Portsmouth,12/31/2021,2330,Assault Offenses,Simple Assault,,,1/5/2022,1
,22-X5669736,Person,Centennial,1/5/2022,0940,Assault Offenses,Aggravated Assault,,,1/5/2022,1
,22-X5669755,Person,Powellhurst-Gilbert,1/5/2022,1836,Assault Offenses,Simple Assault,,,1/5/2022,1
,22-X5669796,Person,Buckman East,1/5/2022,2045,Assault Offenses,Aggravated Assault,,,1/5/2022,1
,22-X5669891,Person,Foster-Powell,1/6/2022,1310,Assault Offenses,Simple Assault,,,1/6/2022,2
,22-X5670013,Person,Hazelwood,1/6/2022,1107,Assault Offenses,Simple Assault,,,1/6/2022,1
,22-X5670013,Property,Hazelwood,1/6/2022,1107,Burglary,Burglary,,,1/6/2022,1
,22-X5670013,Property,Hazelwood,1/6/2022,1107,Vandalism,Vandalism,,,1/6/2022,1
,22-X5670049,Person,Downtown,1/6/2022,1945,Assault Offenses,Simple Assault,,,1/6/2022,1
,22-X5670052,Person,Powellhurst-Gilbert,1/6/2022,2330,Assault Offenses,Simple Assault,,,1/6/2022,1
,22-X5670091,Property,South Tabor,1/6/2022,2206,Vandalism,Vandalism,,,1/7/2022,1
,22-X5670285,Person,Lloyd,1/7/2022,1619,Assault Offenses,Simple Assault,,,1/7/2022,1
,22-X5670303,Person,St Johns,1/7/2022,1153,Assault Offenses,Aggravated Assault,,,1/7/2022,1
,22-X5670383,Person,Goose Hollow,1/7/2022,0000,Sex Offenses,Rape,,,1/7/2022,1
,22-X5670526,Property,Cully,1/4/2022,0001,Motor Vehicle Theft,Motor Vehicle Theft,,,1/7/2022,1
,22-X5670546,Person,Argay,1/6/2022,2314,Kidnapping/Abduction,Kidnapping/Abduction,,,1/6/2022,1
,22-X5670676,Person,Downtown,1/5/2022,1646,Sex Offenses,Sodomy,,,1/5/2022,1
,22-X5670681,Person,St Johns,12/31/2021,1500,Sex Offenses,Sodomy,,,1/4/2022,1
,22-X5670696,Person,Powellhurst-Gilbert,1/8/2022,1035,Assault Offenses,Simple Assault,,,1/8/2022,1
,22-X5670754,Person,Hazelwood,1/8/2022,1723,Assault Offenses,Simple Assault,,,1/8/2022,1
,22-X5671251,Person,Montavilla,5/1/2021,0800,Assault Offenses,Aggravated Assault,,,1/8/2022,1
,22-X5671261,Person,Multnomah,1/8/2022,2030,Assault Offenses,Simple Assault,,,1/8/2022,2
,22-X5671338,Person,Alameda,1/7/2022,2139,Assault Offenses,Intimidation,,,1/7/2022,1
,22-X5671396,Person,Cathedral Park,1/9/2022,0149,Assault Offenses,Aggravated Assault,,,1/9/2022,1
,22-X5671403,Property,South Tabor,1/8/2022,2126,Burglary,Burglary,,,1/8/2022,1
,22-X5671406,Person,Glenfair,1/9/2022,0420,Assault Offenses,Simple Assault,,,1/9/2022,1
,22-X5671459,Person,,1/9/2022,1609,Assault Offenses,Simple Assault,,,1/9/2022,1
,22-X5671559,Person,Piedmont,1/2/2022,1450,Assault Offenses,Simple Assault,,,1/2/2022,1
,22-X5671652,Person,St Johns,1/6/2022,1358,Assault Offenses,Intimidation,,,1/6/2022,1
,22-X5671701,Person,Goose Hollow,1/9/2022,2258,Assault Offenses,Simple Assault,,,1/10/2022,1
,22-X5671735,Person,Parkrose,1/3/2022,2015,Sex Offenses,Rape,,,1/3/2022,1
,22-X5671814,Person,Argay,1/9/2022,2107,Assault Offenses,Simple Assault,,,1/9/2022,1
,22-X5671829,Person,Old Town/Chinatown,1/3/2022,0000,Sex Offenses,Rape,,,1/6/2022,1
,22-X5671868,Person,Kenton,1/10/2022,0827,Assault Offenses,Aggravated Assault,,,1/10/2022,1
,22-X5671878,Person,,1/10/2022,1040,Assault Offenses,Aggravated Assault,,,1/10/2022,1
,22-X5671912,Person,St Johns,1/8/2022,1043,Assault Offenses,Simple Assault,,,1/8/2022,1
,22-X5672028,Person,Montavilla,1/10/2022,2027,Assault Offenses,Simple Assault,,,1/10/2022,1
,22-X5672037,Person,Goose Hollow,1/10/2022,2248,Assault Offenses,Simple Assault,,,1/10/2022,2
,22-X5672187,Person,Hazelwood,1/10/2022,2339,Assault Offenses,Simple Assault,,,1/10/2022,1
,22-X5672194,Person,Madison South,1/8/2022,1418,Assault Offenses,Simple Assault,,,1/8/2022,1
,22-X5672256,Person,Lloyd,1/10/2022,1843,Kidnapping/Abduction,Kidnapping/Abduction,,,1/10/2022,1
,22-X5672262,Person,Hazelwood,1/11/2022,0310,Assault Offenses,Aggravated Assault,,,1/11/2022,1
,22-X5672295,Person,Eliot,1/10/2022,2351,Assault Offenses,Simple Assault,,,1/10/2022,1
,22-X5672296,Person,Centennial,1/11/2022,0023,Assault Offenses,Simple Assault,,,1/11/2022,1
,22-X5672314,Person,Hazelwood,1/11/2022,1421,Homicide Offenses,Murder and Non-negligent Manslaughter,,,1/11/2022,1
,22-X5672328,Person,Downtown,1/11/2022,1053,Assault Offenses,Simple Assault,,,1/11/2022,1
,22-X5672371,Person,Lents,1/11/2022,2336,Assault Offenses,Aggravated Assault,,,1/11/2022,1
,22-X5672392,Person,Centennial,1/11/2022,2150,Assault Offenses,Simple Assault,,,1/11/2022,1
,22-X5672418,Person,Concordia,1/1/2022,0919,Assault Offenses,Intimidation,,,1/1/2022,1
,22-X5672435,Person,Downtown,1/12/2022,0531,Assault Offenses,Simple Assault,,,1/12/2022,1
,22-X5672526,Person,Wilkes,1/1/2022,0132,Assault Offenses,Aggravated Assault,,,1/1/2022,1
,22-X5672541,Person,Northwest,1/2/2022,1730,Assault Offenses,Simple Assault,,,1/2/2022,1
,22-X5672544,Person,Hazelwood,12/31/2021,1820,Assault Offenses,Simple Assault,,,1/2/2022,2
,22-X5672550,Person,Centennial,1/2/2022,1257,Assault Offenses,Intimidation,,,1/2/2022,1
,22-X5672553,Property,Centennial,1/1/2022,2200,Fraud Offenses,Credit Card/ATM Fraud,,,1/2/2022,1
,22-X5672553,Property,Centennial,1/1/2022,2200,Larceny Offenses,Theft From Motor Vehicle,,,1/2/2022,1
,22-X5672596,Person,Parkrose Heights,1/1/2022,2045,Assault Offenses,Simple Assault,,,1/1/2022,1
,22-X5672621,Person,Roseway,1/2/2022,0419,Assault Offenses,Simple Assault,,,1/2/2022,1
,22-X5672640,Property,Centennial,1/2/2022,1722,Vandalism,Vandalism,,,1/2/2022,1
,22-X5672682,Person,Madison South,1/12/2022,1705,Assault Offenses,Simple Assault,,,1/12/2022,1
,22-X5672684,Person,Foster-Powell,1/12/2022,0249,Assault Offenses,Simple Assault,,,1/12/2022,2
,22-X5672783,Person,Centennial,1/13/2022,0227,Assault Offenses,Aggravated Assault,,,1/13/2022,1
,22-X5672817,Person,Hazelwood,1/13/2022,0301,Assault Offenses,Simple Assault,,,1/13/2022,1
,22-X5672845,Property,West Portland Park,1/11/2022,2244,Vandalism,Vandalism,,,1/11/2022,1
,22-X5672847,Person,Cully,7/1/2020,0000,Assault Offenses,Simple Assault,,,1/13/2022,1
,22-X5672860,Person,Concordia,1/12/2022,1835,Assault Offenses,Simple Assault,,,1/12/2022,1
,22-X5672864,Person,Centennial,1/12/2022,2033,Assault Offenses,Simple Assault,,,1/12/2022,1
,22-X5672895,Person,Glenfair,1/1/2022,1733,Assault Offenses,Simple Assault,,,1/1/2022,1
,22-X5672916,Person,Boise,12/29/2021,0500,Sex Offenses,Fondling,,,1/12/2022,1
,22-X5672932,Person,Northwest,1/13/2022,0508,Assault Offenses,Aggravated Assault,,,1/13/2022,1
,22-X5672936,Person,Rose City Park,1/12/2022,1530,Assault Offenses,Simple Assault,,,1/13/2022,1
,22-X5672938,Person,Rose City Park,1/13/2022,1138,Assault Offenses,Simple Assault,,,1/13/2022,1
,22-X5672943,Property,Pearl,1/11/2022,1300,Vandalism,Vandalism,,,1/13/2022,1
,22-X5672944,Person,Glenfair,1/13/2022,1450,Assault Offenses,Aggravated Assault,,,1/13/2022,1
,22-X5672957,Person,Mt Scott-Arleta,1/13/2022,1754,Assault Offenses,Simple Assault,,,1/13/2022,1
,22-X5672985,Person,Hazelwood,1/13/2022,2234,Assault Offenses,Simple Assault,,,1/13/2022,1
,22-X5673046,Person,Mill Park,1/14/2022,0010,Assault Offenses,Simple Assault,,,1/14/2022,1
,22-X5673087,Person,Concordia,1/2/2022,1613,Assault Offenses,Simple Assault,,,1/2/2022,1
,22-X5673144,Person,,11/26/2021,0001,Human Trafficking Offenses,Commercial Sex Acts,,,1/14/2022,1
,22-X5673178,Person,Northwest,1/2/2022,0050,Assault Offenses,Simple Assault,,,1/2/2022,2
,22-X5673188,Person,King,1/13/2022,2230,Assault Offenses,Simple Assault,,,1/13/2022,3
,22-X5673196,Person,Concordia,1/12/2022,1255,Sex Offenses,Rape,,,1/12/2022,1
,22-X5673204,Person,Wilkes,1/13/2022,0200,Sex Offenses,Rape,,,1/13/2022,1
,22-X5673234,Person,Multnomah,1/14/2022,0900,Assault Offenses,Simple Assault,,,1/14/2022,1
,22-X5673242,Person,Hazelwood,1/14/2022,1157,Assault Offenses,Simple Assault,,,1/14/2022,1
,22-X5673245,Person,Sumner,1/13/2022,1317,Assault Offenses,Simple Assault,,,1/14/2022,1
,22-X5673397,Person,Lents,1/3/2022,0041,Assault Offenses,Simple Assault,,,1/3/2022,1
,22-X5673399,Property,Concordia,1/3/2022,0207,Vandalism,Vandalism,,,1/3/2022,1
,22-X5673400,Property,Woodlawn,1/3/2022,0232,Vandalism,Vandalism,,,1/3/2022,1
,22-X5673446,Person,Hazelwood,1/6/2022,0154,Assault Offenses,Aggravated Assault,,,1/6/2022,1
,22-X5673491,Person,South Portland,1/14/2022,1954,Assault Offenses,Simple Assault,,,1/14/2022,1
,22-X5673494,Person,Brooklyn,1/14/2022,2139,Assault Offenses,Simple Assault,,,1/14/2022,1
,22-X5673500,Person,Powellhurst-Gilbert,1/14/2022,2118,Assault Offenses,Aggravated Assault,,,1/14/2022,1
,22-X5673583,Property,Hayden Island,1/2/2022,1530,Larceny Offenses,Pocket-Picking,,,1/2/2022,1
,22-X5673636,Property,Centennial,1/8/2022,2107,Robbery,Robbery,,,1/8/2022,1
,22-X5673655,Person,Irvington,1/15/2022,0045,Assault Offenses,Aggravated Assault,,,1/15/2022,1
,22-X5673679,Property,Woodstock,1/15/2022,0408,Robbery,Robbery,,,1/15/2022,1
,22-X5673698,Person,Eliot,1/14/2022,2255,Assault Offenses,Aggravated Assault,,,1/14/2022,1
,22-X5673708,Person,Sellwood-Moreland,1/14/2022,2130,Assault Offenses,Simple Assault,,,1/14/2022,1
,22-X5673709,Person,Hazelwood,1/15/2022,0323,Assault Offenses,Simple Assault,,,1/15/2022,1
,22-X5673719,Person,Cully,1/4/2022,0838,Assault Offenses,Simple Assault,,,1/4/2022,1
,22-X5673757,Person,Glenfair,1/14/2022,1654,Assault Offenses,Simple Assault,,,1/14/2022,1
,22-X5673774,Property,Montavilla,12/26/2021,1800,Vandalism,Vandalism,,,1/4/2022,1
,22-X5673792,Person,Buckman West,1/12/2022,0830,Sex Offenses,Fondling,,,1/13/2022,1
,22-X5673806,Person,Hazelwood,1/15/2022,0538,Assault Offenses,Aggravated Assault,,,1/15/2022,2
,22-X5673835,Person,Montavilla,1/4/2022,1902,Assault Offenses,Aggravated Assault,,,1/4/2022,1
,22-X5673842,Person,South Tabor,1/4/2022,1826,Assault Offenses,Simple Assault,,,1/4/2022,2
,22-X5673844,Person,Centennial,1/14/2022,1415,Assault Offenses,Aggravated Assault,,,1/14/2022,1
,22-X5673850,Person,Humboldt,1/4/2022,1801,Sex Offenses,Rape,,,1/4/2022,1
,22-X5673853,Person,Argay,1/4/2022,1023,Assault Offenses,Simple Assault,,,1/4/2022,1
,22-X5673866,Person,Downtown,1/7/2022,0834,Assault Offenses,Simple Assault,,,1/7/2022,1
,22-X5673871,Person,Hazelwood,11/25/2021,0830,Sex Offenses,Rape,,,1/4/2022,1
,22-X5673881,Person,Old Town/Chinatown,1/7/2022,1113,Sex Offenses,Rape,,,1/7/2022,1
,22-X5673929,Person,Lents,12/12/2021,1200,Assault Offenses,Aggravated Assault,,,1/5/2022,1
,22-X5673957,Person,Ashcreek,1/7/2022,0801,Assault Offenses,Simple Assault,,,1/7/2022,1
,22-X5673960,Person,Montavilla,1/6/2022,1145,Assault Offenses,Aggravated Assault,,,1/6/2022,1
,22-X5674117,Person,Centennial,1/9/2022,0600,Assault Offenses,Simple Assault,,,1/9/2022,1
,22-X5674294,Person,Montavilla,1/16/2022,0243,Kidnapping/Abduction,Kidnapping/Abduction,,,1/16/2022,1
,22-X5674295,Person,Downtown,1/15/2022,1148,Assault Offenses,Simple Assault,,,1/15/2022,1
,22-X5674298,Person,Centennial,1/16/2022,0806,Assault Offenses,Simple Assault,,,1/16/2022,1
,22-X5674338,Person,Portsmouth,1/16/2022,0449,Assault Offenses,Simple Assault,,,1/16/2022,1
,22-X5674341,Person,Lloyd,1/16/2022,1059,Assault Offenses,Simple Assault,,,1/16/2022,1
,22-X5674410,Person,Portsmouth,1/9/2022,1453,Kidnapping/Abduction,Kidnapping/Abduction,,,1/9/2022,1
,22-X5674424,Person,Wilkes,1/10/2022,0112,Assault Offenses,Aggravated Assault,,,1/10/2022,4
,22-X5674436,Person,Goose Hollow,1/10/2022,0354,Assault Offenses,Aggravated Assault,,,1/10/2022,1
,22-X5674452,Person,Foster-Powell,1/10/2022,0503,Sex Offenses,Sexual Assault With An Object,,,1/10/2022,1
,22-X5674548,Person,St Johns,1/16/2022,2120,Assault Offenses,Simple Assault,,,1/16/2022,2
,22-X5674639,Person,Powellhurst-Gilbert,1/16/2022,2336,Assault Offenses,Aggravated Assault,,,1/16/2022,1
,22-X5674647,Person,Sellwood-Moreland,12/28/2021,1200,Sex Offenses,Fondling,,,1/9/2022,1
,22-X5674758,Person,Hazelwood,1/10/2022,2201,Assault Offenses,Simple Assault,,,1/10/2022,1
,22-X5674812,Property,Downtown,1/1/2022,1815,Vandalism,Vandalism,,,1/1/2022,1
,22-X5674871,Person,Hazelwood,1/17/2022,0127,Assault Offenses,Simple Assault,,,1/17/2022,1
,22-X5674926,Person,Lloyd,1/16/2022,2119,Assault Offenses,Simple Assault,,,1/16/2022,1
,22-X5674932,Person,St Johns,1/16/2022,2235,Assault Offenses,Simple Assault,,,1/16/2022,1
,22-X5674936,Person,Old Town/Chinatown,1/17/2022,0349,Assault Offenses,Simple Assault,,,1/17/2022,1
,22-X5674946,Person,Buckman East,1/8/2022,0001,Assault Offenses,Simple Assault,,,1/16/2022,1
,22-X5674959,Person,Centennial,1/16/2022,2204,Assault Offenses,Simple Assault,,,1/16/2022,1
,22-X5674985,Person,,1/8/2022,1700,Sex Offenses,Sodomy,,,1/11/2022,1
,22-X5674997,Person,Boise,1/17/2022,1142,Assault Offenses,Simple Assault,,,1/17/2022,1
,22-X5675070,Person,,1/14/2022,1900,Assault Offenses,Aggravated Assault,,,1/17/2022,1
,22-X5675096,Person,Multnomah,1/17/2022,0050,Assault Offenses,Aggravated Assault,,,1/17/2022,1
,22-X5675106,Person,Montavilla,1/17/2022,1107,Assault Offenses,Simple Assault,,,1/17/2022,1
,22-X5675180,Person,Parkrose,1/8/2022,0900,Assault Offenses,Aggravated Assault,,,1/11/2022,1
,22-X5675180,Person,Parkrose,1/8/2022,0900,Assault Offenses,Simple Assault,,,1/11/2022,2
,22-X5675227,Person,Mill Park,1/16/2022,2020,Assault Offenses,Aggravated Assault,,,1/17/2022,1
,22-X5675230,Person,Kenton,1/17/2022,2037,Assault Offenses,Aggravated Assault,,,1/17/2022,1
,22-X5675240,Person,Powellhurst-Gilbert,1/18/2022,0201,Assault Offenses,Aggravated Assault,,,1/18/2022,1
,22-X5675248,Person,Eliot,1/17/2022,2300,Homicide Offenses,Murder and Non-negligent Manslaughter,,,1/17/2022,1
,22-X5675259,Person,Montavilla,1/11/2022,1540,Sex Offenses,Fondling,,,1/11/2022,1
,22-X5675313,Person,Woodstock,1/17/2022,2313,Assault Offenses,Aggravated Assault,,,1/17/2022,1
,22-X5675314,Person,Downtown,1/18/2022,0527,Assault Offenses,Simple Assault,,,1/18/2022,1
,22-X5675330,Property,Powellhurst-Gilbert,1/14/2022,1912,Vandalism,Vandalism,,,1/14/2022,1
,22-X5675353,Person,Old Town/Chinatown,1/15/2022,1510,Sex Offenses,Fondling,,,1/15/2022,1
,22-X5675366,Person,Argay,11/25/2021,0000,Assault Offenses,Aggravated Assault,,,1/13/2022,1
,22-X5675378,Person,Hosford-Abernethy,2/1/2020,0000,Sex Offenses,Fondling,,,1/14/2022,1
,22-X5675406,Property,Sellwood-Moreland,1/18/2022,1549,Vandalism,Vandalism,,,1/18/2022,1
,22-X5675409,Person,,1/18/2022,1320,Assault Offenses,Simple Assault,,,1/18/2022,1
,22-X5675411,Person,Creston-Kenilworth,1/18/2022,1529,Assault Offenses,Simple Assault,,,1/18/2022,1
,22-X5675427,Person,Mill Park,1/18/2022,1903,Assault Offenses,Simple Assault,,,1/18/2022,1
,22-X5675428,Person,Hazelwood,1/18/2022,1938,Assault Offenses,Simple Assault,,,1/18/2022,1
,22-X5675429,Person,Lents,1/18/2022,2037,Assault Offenses,Simple Assault,,,1/18/2022,1
,22-X5675438,Person,East Columbia,1/18/2022,1834,Kidnapping/Abduction,Kidnapping/Abduction,,,1/18/2022,1
,22-X5675474,Person,Portsmouth,12/28/2021,0000,Assault Offenses,Intimidation,,,1/11/2022,1
,22-X5675527,Person,Rose City Park,1/18/2022,1930,Assault Offenses,Aggravated Assault,,,1/18/2022,1
,22-X5675586,Person,Cully,1/17/2022,1536,Assault Offenses,Simple Assault,,,1/17/2022,1
,22-X5675589,Property,Portsmouth,1/17/2022,1017,Larceny Offenses,All Other Larceny,,,1/17/2022,1
,22-X5675590,Person,Portsmouth,1/17/2022,1017,Assault Offenses,Simple Assault,,,1/17/2022,1
,22-X5675591,Person,Old Town/Chinatown,1/18/2022,1347,Assault Offenses,Simple Assault,,,1/18/2022,2
,22-X5675659,Person,Montavilla,1/19/2022,1119,Assault Offenses,Simple Assault,,,1/19/2022,1
,22-X5675676,Person,Lents,1/17/2022,0507,Assault Offenses,Simple Assault,,,1/17/2022,1
,22-X5675699,Person,Foster-Powell,1/19/2022,1950,Assault Offenses,Simple Assault,,,1/19/2022,1
,22-X5675718,Person,Northwest,1/18/2022,2042,Assault Offenses,Aggravated Assault,,,1/18/2022,1
,22-X5675720,Person,Cully,1/19/2022,2119,Assault Offenses,Simple Assault,,,1/19/2022,1
,22-X5675732,Person,Old Town/Chinatown,1/17/2022,1904,Assault Offenses,Simple Assault,,,1/17/2022,1
,22-X5675858,Person,Goose Hollow,1/19/2022,1912,Assault Offenses,Simple Assault,,,1/19/2022,1
,22-X5675858,Society,Goose Hollow,1/19/2022,1912,Animal Cruelty Offenses,Animal Cruelty,,,1/19/2022,1
,22-X5675862,Person,Downtown,1/18/2022,0130,Assault Offenses,Aggravated Assault,,,1/19/2022,1
,22-X5675871,Person,Hazelwood,1/20/2022,0802,Assault Offenses,Simple Assault,,,1/20/2022,2
,22-X5675892,Person,Northwest,12/18/2021,0000,Sex Offenses,Rape,,,1/18/2022,1
,22-X5675925,Person,Powellhurst-Gilbert,1/20/2022,1846,Assault Offenses,Simple Assault,,,1/20/2022,1
,22-X5675939,Person,Portsmouth,1/20/2022,2120,Assault Offenses,Aggravated Assault,,,1/20/2022,1
,22-X5675946,Person,Cathedral Park,1/20/2022,2000,Assault Offenses,Simple Assault,,,1/20/2022,1
,22-X5675947,Person,Lloyd,1/19/2022,1833,Assault Offenses,Aggravated Assault,,,1/19/2022,1
,22-X5675956,Society,Hazelwood,1/20/2022,2028,Weapon Law Violations,Weapons Law Violations,,,1/20/2022,1
,22-X5676020,Person,Hosford-Abernethy,1/21/2022,1306,Assault Offenses,Intimidation,,,1/21/2022,3
,22-X5676023,Person,Madison South,1/21/2022,1252,Assault Offenses,Intimidation,,,1/21/2022,1
,22-X5676028,Person,Sylvan-Highlands,1/21/2022,1227,Assault Offenses,Aggravated Assault,,,1/21/2022,1
,22-X5676042,Person,Hazelwood,1/21/2022,1708,Assault Offenses,Simple Assault,,,1/21/2022,1
,22-X5676141,Person,Wilkes,1/21/2022,0423,Assault Offenses,Aggravated Assault,,,1/21/2022,1
,22-X5676181,Person,,9/1/2021,0000,Sex Offenses,Statutory Rape,,,1/22/2022,1
,22-X5676183,Person,Hayden Island,1/20/2022,2040,Sex Offenses,Fondling,,,1/20/2022,1
,22-X5676212,Person,Glenfair,1/21/2022,2039,Assault Offenses,Simple Assault,,,1/21/2022,1
,22-X5676215,Person,Overlook,1/21/2022,2110,Assault Offenses,Simple Assault,,,1/21/2022,1
,22-X5676218,Person,Eliot,1/22/2022,0135,Kidnapping/Abduction,Kidnapping/Abduction,,,1/22/2022,1
,22-X5676250,Person,Sunderland,1/22/2022,1345,Assault Offenses,Aggravated Assault,,,1/22/2022,1
,22-X5676252,Person,Centennial,1/22/2022,1304,Assault Offenses,Simple Assault,,,1/22/2022,1
,22-X5676259,Person,Kenton,1/22/2022,1650,Assault Offenses,Aggravated Assault,,,1/22/2022,1
,22-X5676329,Property,Sellwood-Moreland,1/14/2022,1750,Fraud Offenses,Credit Card/ATM Fraud,,,1/14/2022,1
,22-X5676410,Person,Madison South,1/23/2022,0002,Assault Offenses,Simple Assault,,,1/23/2022,2
,22-X5676411,Person,Powellhurst-Gilbert,1/23/2022,0025,Assault Offenses,Aggravated Assault,,,1/23/2022,1
,22-X5676415,Person,Madison South,1/22/2022,0344,Assault Offenses,Simple Assault,,,1/22/2022,1
,22-X5676415,Property,Madison South,1/22/2022,0344,Vandalism,Vandalism,,,1/22/2022,1
,22-X5676416,Person,Montavilla,1/22/2022,0855,Assault Offenses,Simple Assault,,,1/22/2022,1
,22-X5676417,Person,Sellwood-Moreland,1/13/2022,2000,Assault Offenses,Aggravated Assault,,,1/22/2022,1
,22-X5676420,Property,Overlook,1/22/2022,0940,Vandalism,Vandalism,,,1/22/2022,1
,22-X5676422,Person,Hillsdale,1/22/2022,0956,Assault Offenses,Intimidation,,,1/22/2022,1
,22-X5676425,Person,Kenton,1/22/2022,1102,Assault Offenses,Simple Assault,,,1/22/2022,1
,22-X5676427,Person,Hazelwood,1/22/2022,1438,Assault Offenses,Aggravated Assault,,,1/22/2022,1
,22-X5676430,Person,Madison South,1/22/2022,1500,Assault Offenses,Intimidation,,,1/22/2022,1
,22-X5676431,Person,Creston-Kenilworth,1/22/2022,1755,Assault Offenses,Simple Assault,,,1/22/2022,1
,22-X5676438,Person,Sumner,1/23/2022,0118,Assault Offenses,Simple Assault,,,1/23/2022,1
